iter	Passed	Remaining
0	54	54177
1	54	27265
2	55	18318
3	55	13823
4	55	11132
5	56	9330
6	56	8040
7	57	7082
8	57	6337
9	57	5734
10	58	5242
11	58	4837
12	59	4486
13	59	4187
14	59	3930
15	60	3703
16	60	3503
17	60	3325
18	61	3166
19	61	3026
20	62	2899
21	62	2783
22	62	2675
23	63	2575
24	63	2483
25	64	2399
26	64	2320
27	64	2247
28	65	2179
29	65	2117
30	65	2059
31	66	2004
32	66	1951
33	66	1902
34	67	1857
35	67	1814
36	68	1773
37	68	1733
38	68	1696
39	69	1660
40	69	1627
41	69	1596
42	70	1565
43	70	1535
44	71	1509
45	71	1483
46	71	1457
47	72	1433
48	72	1409
49	72	1386
50	73	1364
51	73	1343
52	74	1322
53	74	1302
54	74	1284
55	75	1267
56	75	1250
57	75	1233
58	76	1217
59	76	1204
60	77	1190
61	77	1176
62	78	1162
63	78	1148
64	78	1134
65	79	1122
66	79	1109
67	80	1096
68	80	1084
69	80	1072
70	81	1061
71	81	1050
72	81	1039
73	82	1029
74	82	1019
75	83	1009
76	83	999
77	83	990
78	84	980
79	84	971
80	84	963
81	85	954
82	85	943
83	85	935
84	86	927
85	86	919
86	86	912
87	87	904
88	87	897
89	88	889
90	88	882
91	88	875
92	89	868
93	89	862
94	89	856
95	90	850
96	90	844
97	91	838
98	91	832
99	91	826
100	92	821
101	92	816
102	93	810
103	93	805
104	93	800
105	94	794
106	94	789
107	94	784
108	95	779
109	95	774
110	96	769
111	96	764
112	96	760
113	97	755
114	97	750
115	97	746
116	98	740
117	98	736
118	98	731
119	99	727
120	99	723
121	99	718
122	100	714
123	100	710
124	101	711
125	102	707
126	102	703
127	102	699
128	103	696
129	103	693
130	103	689
131	104	685
132	104	681
133	104	678
134	105	674
135	105	672
136	106	668
137	106	665
138	106	662
139	107	658
140	107	655
141	107	652
142	108	649
143	108	646
144	109	643
145	109	640
146	109	637
147	110	634
148	110	631
149	110	628
150	111	625
151	111	622
152	112	620
153	112	617
154	112	614
155	113	611
156	113	609
157	114	607
158	114	605
159	114	602
160	114	599
161	115	596
162	115	594
163	116	591
164	116	589
165	116	586
166	117	584
167	117	582
168	117	580
169	118	577
170	118	575
171	119	573
172	119	571
173	119	569
174	120	567
175	120	565
176	121	563
177	121	560
178	121	558
179	122	557
180	122	554
181	123	552
182	123	550
183	123	549
184	124	547
185	124	545
186	124	543
187	125	541
188	125	539
189	126	537
190	126	535
191	126	533
192	127	532
193	127	530
194	127	528
195	128	526
196	128	524
197	129	522
198	129	521
199	129	519
200	130	517
201	130	515
202	130	514
203	131	512
204	131	510
205	131	508
206	132	507
207	132	505
208	133	503
209	133	501
210	133	500
211	134	498
212	134	497
213	134	495
214	135	494
215	135	492
216	136	490
217	136	489
218	136	487
219	137	486
220	137	484
221	137	483
222	138	482
223	138	480
224	139	479
225	139	477
226	139	476
227	140	475
228	140	473
229	141	472
230	141	470
231	141	469
232	142	468
233	142	466
234	142	465
235	143	463
236	143	462
237	144	461
238	144	460
239	144	458
240	145	457
241	145	456
242	145	454
243	146	453
244	146	452
245	147	450
246	147	449
247	147	447
248	148	446
249	148	445
250	148	443
251	149	442
252	149	441
253	149	440
254	150	438
255	150	437
256	150	436
257	151	435
258	151	433
259	152	432
260	152	431
261	152	430
262	153	429
263	153	428
264	153	427
265	154	426
266	154	424
267	155	423
268	155	422
269	155	421
270	156	420
271	156	419
272	157	418
273	157	417
274	157	416
275	158	415
276	158	414
277	159	412
278	159	411
279	159	410
280	160	409
281	160	408
282	160	407
283	161	406
284	161	405
285	162	404
286	162	403
287	162	402
288	163	401
289	163	400
290	163	399
291	164	398
292	164	397
293	165	396
294	165	395
295	165	394
296	166	393
297	166	392
298	167	391
299	167	390
300	167	389
301	168	388
302	168	387
303	169	387
304	169	386
305	170	387
306	171	386
307	171	386
308	172	385
309	173	385
310	173	384
311	173	383
312	174	382
313	174	381
314	175	380
315	175	379
316	175	378
317	176	377
318	176	376
319	176	375
320	177	374
321	177	374
322	178	373
323	178	372
324	178	371
325	179	370
326	179	369
327	179	368
328	180	367
329	180	366
330	180	365
331	180	364
332	181	363
333	181	362
334	182	361
335	182	360
336	182	359
337	183	359
338	183	358
339	184	357
340	184	356
341	184	355
342	185	354
343	185	353
344	185	352
345	186	352
346	186	351
347	187	350
348	187	349
349	187	348
350	188	347
351	188	347
352	188	346
353	189	345
354	189	345
355	190	344
356	190	343
357	191	342
358	191	341
359	191	340
360	191	339
361	192	339
362	192	338
363	193	337
364	193	336
365	193	335
366	194	335
367	194	334
368	195	333
369	195	332
370	195	331
371	196	330
372	196	330
373	196	329
374	197	328
375	197	327
376	197	327
377	198	326
378	198	325
379	198	324
380	199	323
381	199	322
382	199	322
383	200	321
384	200	320
385	200	319
386	201	318
387	201	318
388	202	317
389	202	316
390	202	315
391	203	315
392	203	314
393	203	313
394	204	312
395	204	311
396	204	310
397	204	310
398	205	309
399	205	308
400	206	307
401	206	307
402	206	306
403	207	305
404	207	304
405	207	304
406	208	303
407	208	302
408	208	301
409	209	301
410	209	300
411	210	299
412	210	299
413	210	298
414	211	297
415	211	297
416	211	296
417	212	295
418	212	295
419	213	294
420	213	293
421	213	292
422	214	292
423	214	291
424	214	290
425	215	290
426	215	289
